item_id,competency_id,level_target,statement
PS_01,hard_problem_setting,1,"Я умею формулировать цель и задачи исследования"
PS_02,hard_problem_setting,1,"Я умею формулировать выборку для исследования"
PS_03,hard_problem_setting,2,"Я умею определить метод исследования"
PS_04,hard_problem_setting,3,"Я умеею определить, какой фреймворк использовать в выбранном методе исследования"
PS_05,hard_problem_setting,3,"Я умеею использовать выбранный фреймворк"
PS_06,hard_problem_setting,3,"Я умеею формулировать исследовательскую цель из бизнес цели"
PS_07,hard_problem_setting,3,"Я умеею формулировать исследовательские гипотезы из продуктовых гипотез"
PS_08,hard_problem_setting,3,"Я умеею формулировать исследовательские гипотезы из бизнес гипотез"
DS_01,hard_design,1,"Я умею выстраивать структуру дизайна исследования"
DS_02,hard_design,2,"Я умею проверять гипотезы подходящими вопросами и заданиями в сценарии исследования"
DS_03,hard_design,2,"Я умею строить единное и логичное повестование в сценарии исследования"
DS_04,hard_design,2,"Я умею учитывать разную выборку в сценарии"
DS_05,hard_design,2,"Я умею точно расчитать время на сессию с респондентом"
DS_06,hard_design,3,"Я умею проверять гипотезы для разных фич/продуктов в одном дизайне исследования"
EX_01,hard_execution,1,"Я умею проводить сессию, опираясь на сценарий"
EX_02,hard_execution,1,"Я умею расположить к себе респондента"
EX_03,hard_execution,2,"Я умею проводить сессию, не сверяясь со сценарием"
EX_04,hard_execution,2,"Я умею раскрывать односложные ответы респондента"
EX_05,hard_execution,2,"Я умею вести заметки во время сессии, сохраняя качество полученных данных"
EX_06,hard_execution,3,"Я умею отойти от сценария исследования, без потери для результатов сессии"
ANL_01,hard_analysis,2,"Я умею из ответа респондента подтвердить или опровергнуть гипотезу"
ANL_02,hard_analysis,2,"Я умею достать инсайт из качественных данных"
ANL_03,hard_analysis,2,"Я умею определить критичность проблемы"
ANL_04,hard_analysis,2,"Я умею в ответах респондента найти закономерность и выделить паттерны поведения"
ANL_05,hard_analysis,2,"Я умею формулировать выводы из исследования"
ANL_06,hard_analysis,2,"Я умею учитывать контекст в ответах респондента при анализе результатов исследования"
ANL_07,hard_analysis,3,"Я умеею связать информацию из ответов респондентов с информацией из других источников (продуктовая аналитика, прошлые исследования, рыночные исследования)"
ANL_08,hard_analysis,3,"Я умею применять разные фреймворки для анализа результатов"
ANL6_01,hard_analysis,3,"Я умею формулировать качественные рекомендации по улучшению продукта/бизнеса"
RS_01,hard_results,2,"Я умею выбрать шаблон для презентации результатов"
RS_02,hard_results,2,"Я умею четко и понятно формулировать выводы и данные исследования"
RS_03,hard_results,2,"Я умею выстроить сторителинг результатов исследования"
RS_04,hard_results,3,"Я умею включать в отчет сторонние данные"
